GeneID	Tiefora_v_Ngousso_log2FoldChange	Ban_v_BanS_log2FoldChange	BanRe_v_BanS_log2FoldChange	Bak_v_Kisumu_log2FoldChange	VK7_v_Kisumu_log2FoldChange	Cameroon_v_Ngousso_log2FoldChange	Chad_v_Ngousso_log2FoldChange	Niger_v_Ngousso_log2FoldChange	Nigeria_v_Ngousso_log2FoldChange	Agboville_v_Mali_log2FoldChange	Agboville_v_Ngousso_log2FoldChange	Dabou_v_Mali_log2FoldChange	Dabou_v_Ngousso_log2FoldChange	Tiassale_v_Mali_log2FoldChange	Tiassale_v_Ngousso_log2FoldChange	Bouake_gamb_unexp_v_Kisumu_log2FoldChange	Bouake_colu_unexp_v_Ngousso_log2FoldChange	BusiaSurvivors_v_Kisumu_log2FoldChange	Asendabo_v_Moz_log2FoldChange	Chewaka_v_Moz_log2FoldChange	Tolay_v_Moz_log2FoldChange	Ethiopia_v_Dongola_log2FoldChange	Gou_v_Moz_log2FoldChange	Cam_fun_v_Fang_log2FoldChange	Fumoz_v_Fang_log2FoldChange	Ghana_fun_v_Fang_log2FoldChange	Malawi_fun_v_Fang_log2FoldChange	Uganda_fun_v_Fang_log2FoldChange	GeneName	GeneDescription
AGAP010675	0	0.006	0	0.009	0.271	0.066	0.022	0.002	0.03	0.077	0.094	0.003	0.007	0.016	0.015	0	0.018	0	0.894	0.941	0.86	0.706	0.318	0.55	0.911	0.947	0.974	0.68	LRIM18	leucine-rich immune protein (Coil-less) [Source:VB Community Annotation]
AGAP009518	0	0.016	0	0.087	0.473	0.902	0.894	0.606	0.288	0.445	0.077	0.223	0.197	0.794	0.011	0	0.093	0	0.535	0.648	0.726	0.736	0.487	0.007	0.075	0.005	0.009	0.036	""	""
AGAP000835	0	0	0.035	0.229	0.424	0.016	0.89	0.133	0.003	0.73	0.25	0.613	0.002	0.445	0.004	0.224	0.003	0	0.036	0.001	0.033	0	0.2	0	0.004	0	0.005	0	""	""
AGAP007593	0	0.254	0	0	0	0.001	0.29	0.955	0.135	0.858	0	0.847	0	0.338	0	0.431	0	0.015	0.005	0.017	0	0	0	0.001	0.304	0.081	0.013		""	glycerol-3-phosphate dehydrogenase (NAD+) [Source:VB Community Annotation]
AGAP011238	0	0	0	0.537	0	0.138	0.262	0.004	0	0.49	0.001	0.198	0	0.272	0	0.063	0	0.804	0.008	0.391	0.002	0.002	0.702	0.754	0.286	0.835	0.527	0.995	""	""
AGAP010817	0	0	0	0.083	0.098	0.688	0.322	0.031	0	0.246	0.614	0.421	0.235	0.689	0.22	0.056	0.307	0	0.003	0.011	0.001	0.007	0.062	0.099	0.228	0.193	0.446	0.81	""	""
AGAP010122	0	0	0.964	0.713	0	0.976	0.569	0.053	0	0.116	0.183	0.036	0.062	0.001	0.003	0.789	0	0	0	0.013	0	0.836	0.002	0.864	0.698	0.864	0.918	0.836	CPR132	cuticular protein RR-2 family 132 [Source:VB Community Annotation]
AGAP006108	0	0	0.579	0	0	0.793	0	0.647	0.31	0.302	0.891	0.086	0.758	0.001	0.227	0.077	0.824	0	0.565	0.354	0.673	0.379	0	0.458	0.19	0.182	0.057	0.057	""	""
AGAP007801	0	0.004	0.006	0	0	0.001	0.461	0.488	0	0.026	0.005	0	0.036	0	0.043	0.057	0	0	0	0.03	0	0.004	0	0	0	0	0	0.001	""	vrille [Source:VB Community Annotation]
AGAP011832	0	0.073	0.651	0.117	0.879	0.015	0.167	0.575	0.33	0.064	0.63	0.194	0.482	0.16	0.31	0.295	0.615	0	0.946	0.78	0.019	0	0.451	0	0.085	0.196	0.002	0.109	""	Death-associated protein 1 [Source:VB Community Annotation]
AGAP000637	0	0	0	0.005	0.003	0.767	0.018	0.058	0.002	0.396	0.059	0.068	0.006	0.011	0.001	0.126	0.799	0	0	0	0	0.469	0.901	0.001	0.054	0	0.011	0.013	""	solute carrier family 6 (neurotransmitter transporter, amino acid/orphan) [Source:VB Community Annotation]
AGAP005916	0	0	0.922	0.089	0	0.075	0.866	0.54	0.256	0.353	0.341	0.02	0.935	0.397	0.321	0.867	0.84	0.135	0	0	0	0	0.064	0.015	0.862	0.37	0.644	0.453	""	ubiquitin-conjugating enzyme E2 M [Source:VB Community Annotation]
AGAP012201	0	0.012		0	0	0.013	0	0.006	0.02	0.826	0.732			0.248	0.158	0.25	0	0	0.772	0.905	0.914	0	0.018	0.017	0.002	0.259	0.408	0.862	""	Histone H2B [Source:UniProtKB/Swiss-Prot;Acc:Q27442]
AGAP005033	0	0.012	0.034	0.134	0.66	0.679	0.805	0.189	0.04	0.207	0.003	0.107	0.001	0	0	0.769	0.38	0	0.634	0.713	0.079	0.025	0.992	0.435	0.912	0.929	0.937	0.725	""	U3 small nucleolar RNA-associated protein 20 [Source:VB Community Annotation]
AGAP005674	0	0	0	0	0.065	0.969	0.682	0.143	0.053	0.721	0.007	0.982	0.006	0.86	0.015	0.001	0.671	0	0.029	0.318	0.771	0.897	0.488	0.002	0.13	0	0.005	0.007	""	Miple [Source:VB Community Annotation]
AGAP009447	0	0	0.029	0.001	0.017	0.042	0	0	0	0.009	0.931	0	0.264	0	0.176	0	0.063	0	0	0	0.094	0	0	0	0.286	0.392	0.244	0.001	""	S-adenosylmethionine synthetase [Source:VB Community Annotation]
AGAP011653	0	0.012	0.16	0	0	0.968	0.136	0.27	0.049	0	0.944	0	0.338	0	0.684	0	0.275	0.218	0	0	0	0.242	0	0.066	0.489	0.186	0.774	0.014	""	membrane dipeptidase [Source:VB Community Annotation]
AGAP009183	0	0.001	0	0.233	0.129	0.223	0.202	0.265	0.007	0.94	0.187	0.447	0.038	0.119	0.005	0	0.359	0	0.003	0.026	0.012	0.304	0.644	0	0.039	0	0.07	0.051	""	defective proboscis extension response [Source:VB Community Annotation]
AGAP006460	0	0	0.973	0	0	0.044	0	0.234	0.381	0	0	0	0	0	0	0.03	0.592	0.994	0.144	0.031	0.127	0.906	0.019	0.484	0.594	0.406	0.741	0.565	""	""
AGAP010930	0	0.032	0.395	0	0.015	0.088	0.599	0.315	0.001	0.004	0.004	0.005	0.005	0.024	0.031	0	0.962	0	0.65	0.556	0.494	0.581	0.72	0.137	0.18	0.864	0.769	0.103	""	""
AGAP002184	0	0.204	0	0	0.085	0.887	0.013	0.069	0	0.87	0.083	0.917	0.014	0.481	0.019	0.209	0.833	0.002	0	0	0	0.524	0.082	0.001	0.021	0	0.013	0.007	""	""
AGAP002377	0	0.007	0	0.921	0	0.127	0	0	0	0.26	0.111	0.048	0.016	0	0	0.014	0	0.007	0.005	0.919	0.995	0.011	0	0.076	0.029	0.866	0.603	0.481	""	fatty-acid amide hydrolase 2 [Source:VB Community Annotation]
AGAP006165	0	0	0.193	0	0	0.782	0.545	0.067	0.025	0	0	0	0	0	0	0.746	0.756	0.258	0.093	0.142	0.012	0.108	0	0.225	0.92	0.867	0.763	0.937	""	E1A-binding protein p400 [Source:VB Community Annotation]
AGAP002577	0	0.004	0	0	0.758	0.934	0.651	0.276	0.032	0.247	0.721	0.66	0.194	0.301	0.58	0.253	0.424	0	0	0	0	0.386	0.97	0	0.165	0.015	0.08	0.335	""	voltage-dependent p/q type calcium channel [Source:VB Community Annotation]
AGAP002366	0	0	0	0	0.238	0.813	0.404	0.022	0.001	0.827	0.026	0.908	0.003	0.639	0.021	0.064	0.719	0	0.005	0.005	0	0.688	0.675	0.001	0.136	0	0.047	0.051	""	high affinity choline transporter [Source:VB Community Annotation]
AGAP000308	0	0	0.474	0.047	0	0.693	0.321	0.35	0.015	0.335	0.167	0.563	0	0.865	0.013	0.007	0	0	0.398	0.746	0.045	0.901	0.605	0.963	0.489	0.918	0.963	0.862	""	proteasome activator subunit 3 (PA28 gamma) [Source:VB Community Annotation]
AGAP006452	0	0	0	0.745	0.94	0.758	0.287	0.323	0.973	0.017	0	0.014	0	0.218	0	0.856	0	0	0.269	0.016	0.002	0.009	0	0.003	0.522	0.004	0	0	""	""
AGAP007928	0	0	0	0.041	0.835	0.987	0.811	0.188	0.012	0.241	0.74	0.223	0.5	0.335	0.558	0.015	0.435	0	0	0	0	0.897	0.95	0	0.096	0	0.014	0.039	""	Turtle protein, isoform [Source:VB Community Annotation]
AGAP005292	0	0.021	0	0.012	0.328	0.24	0.243	0.203	0	0.13	0.823	0.135	0.694	0.004	0.581	0.002	0.948	0	0	0	0	0.923	0.072	0.015	0.241	0.193	0.37	0.864	""	nucleolysin TIA-1/TIAR [Source:VB Community Annotation]
AGAP003065	0	0.609	0.735	0.552	0.737						0.957					0.657	0.087	0.572					0.246	0.706	0.477		0.47	0.738	CYP11179	cytochrome P450 [Source:VB Community Annotation]
AGAP007043	0	0.342	0.045	0	0.001	0.003	0.809	0.242	0.021	0.413	0.198	0.41	0.127	0.46	0.217	0.002	0	0	0.484	0.062	0.251	0	0.836	0.125	0.207	0	0.186	0.071	""	""
AGAP007033	0	0.86	0.679	0	0.003	0.712	0	0	0	0.107	0.414	0.018	0.086	0.206	0.677	0.093	0.015	0	0	0.35	0.983	0.019	0.262	0.841	0.695	0.012	0.694	0.081	APL1C	Anopheles Plasmodium-responsive Leucine-Rich Repeat 1C [Source:VB Community Annotation]
AGAP008962	0	0.126	0.311	0	0.16	0	0	0	0	0.435	0.733	0.307	0.007	0.253	0.947	0.252	0	0	0.123	0.728	0.018	0.529	0	0.232	0.516	0.948	0.794	0.457	""	alpha-glucosidase [Source:VB Community Annotation]
AGAP000057	0	0.029	0.162	0.12	0.139	0.045	0	0.223	0.956	0.396	0.856	0.632	0.685	0.82	0.464	0.462	0	0	0	0.392	0	0.627	0.061	0.012	0.871	0.558	0.193	0.778	""	paired box protein [Source:VB Community Annotation]
AGAP007479	0	0.989	0.762	0.001	0	0.217	0	0	0	0.764	0.007	0.381	0.636	0.518	0.2	0.31	0.122	0.041	0	0	0	0.185	0.15	0	0.139	0.024	0.079	0.15	""	methylenetetrahydrofolate reductase (NADPH) [Source:VB Community Annotation]
AGAP008487	0	0	0.617	0.556	0.068	0.074	0.287	0	0	0.007	0.01	0.018	0.017	0.332	0.762	0.799	0.984	0	0.112	0	0	0	0	0.873	0.339	0.932	0.048	0.366	""	Sphingomyelin phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:Q7Q4M5]
AGAP010834	0	0	0.017	0.004	0.001	0.791	0.618	0.633	0.699	0.484	0.298	0.372	0.182	0.98	0.793	0.559	0.552	0.041	0.124	0.121	0.423	0.851	0.024	0.548	0.064	0.019	0.167	0.123	""	calpain-7 [Source:VB Community Annotation]
AGAP007761	0	0.005	0	0	0.001	0.687	0.034	0.001	0	0.962	0.042	0.705	0.003	0.425	0.014	0.03	0.692	0	0	0.007	0	0.83	0.297	0.004	0.258	0.022	0.161	0.11	""	Complement control protein [Source:VB Community Annotation]
AGAP010205	0	0.04	0	0	0.031	0.992	0.385	0.005	0	0.794	0.595	0.279	0.418		0.222	0	0.011	0	0.002	0.003	0.001	0.047	0.011	0	0.024	0	0.004	0.005	""	""
AGAP005794	0	0	0	0	0	0.383	0.175	0.011	0	0.255	0.531	0.338	0.669	0.191	0.346	0.01	0.683	0	0.883	0.404	0.568	0.982	0.774	0.015	0.349	0.078	0.666	0.68	""	""
AGAP000833	0	0.184	0	0	0	0.089	0.067	0.001	0	0.276	0.001	0.038	0	0.031	0	0.079	0	0	0	0	0	0.514	0.373	0	0.047	0	0.011	0	MIP	myoinhibitory-like peptide [Source:VB Community Annotation]
AGAP028501	0	0.004	0	0	0.134	0.519	0.519	0.252	0.022	0.754	0.236	0.944	0.115	0.563	0.026	0.126	0.28	0	0	0	0	0.902	0.956	0	0.085	0.002	0.051	0.131	""	""
AGAP010049	0	0.012	0	0	0.636	0.897	0.598	0.625	0.143	0.065	0.942	0.133	0.967	0.111	0.985	0.01	0.855	0	0	0	0	0.918	0.541	0.032	0.332	0.038	0.103	0.227	""	""
AGAP009918	0	0	0.143	0	0	0.025	0.711	0	0.002	0	0.263	0	0.043	0	0.389	0	0	0	0.626	0.939	0.325	0.205	0	0.93	0.509	0.554	0.086	0.027	""	""
AGAP006416	0	0.001	0.753	0.744	0.001	0.081	0.022	0.24	0	0.411	0.017	0.926	0.038	0.938	0.029	0	0.012	0	0.972	0.617	0.769	0.167	0.171	0	0.067	0.351	0.163	0.029	SP24D	serine protease (non-digestive) [Source:VB Community Annotation]
AGAP001410	0	0.021	0	0.521	0.084	0.448	0.499	0.026	0	0.826	0.262	0.958	0.085	0.837	0.058	0.015	0.409	0	0	0	0	0.377	0.23	0	0.074	0.005	0.058	0.183	""	Sidestep protein [Source:VB Community Annotation]
AGAP008888	0	0.1	0.664	0.017	0.122	0.198	0.53	0	0	0.683	0.574	0.02	0.012	0.015	0.02	0.197	0.016	0	0.004	0.137	0	0.733	0.012	0	0.168	0	0	0.001	""	""
AGAP011378	0	0	0.669	0.079	0	0.082	0.023	0.805	0.752	0	0.007	0	0.022	0	0	0.281	0.339	0	0.152	0.125	0.7	0.629	0	0.623	0.451	0.802	0.819	0.87	""	Tartan [Source:VB Community Annotation]
AGAP005878	0	0	0.028	0	0	0.199	0	0	0	0.079	0.281	0.166	0.126	0.078	0.261	0	0	0	0	0	0.023	0.033	0.047	0.87	0.347	0.135	0.132	0.421	""	POU domain transcription factor, class 3 [Source:VB Community Annotation]
AGAP006590	0	0.933	0	0	0.053	0.913	0.785	0.246	0.017	0.029	0.943	0.085	0.534	0.07	0.772	0.894	0.611	0.008	0	0	0	0.637	0.004	0.001	0.197	0.006	0.156	0.438	""	T-lymphoma invasion and metastasis-inducing protein 1 [Source:VB Community Annotation]
AGAP008363	0	0	0.338	0.378	0	0.001	0	0.006	0	0.01	0.012	0.121	0.024	0.042	0.056	0.03	0.474	0	0.007	0.007	0.01	0.003	0.651	0.015	0.569	0.479	0	0.175	""	cytochrome b5 outer mitochondrial membrane isoform [Source:VB Community Annotation]
AGAP005681	0	0	0	0	0.58	0.834	0.76	0.208	0.113	0.251	0.791	0.846	0.117	0.207	0.811	0.017	0.745	0	0	0	0	0.892	0.67	0	0.13	0	0.016	0.081	GPRNNA21	putative GPCR class a orphan receptor 21 [Source:VB Community Annotation]
AGAP006890	0	0	0.668	0	0	0.855	0.281	0.322	0.917	0.022	0.033	0.001	0.002	0.003	0.006	0.331	0.579	0	0.001	0	0	0.392	0.178	0.556	0.206	0.495	0.534	0.317	Arf3	ADP-ribosylation factor 3 [Source:VB Community Annotation]
AGAP010601	0	0.249	0	0.066	0.429	0.182	0.001	0.007	0.019	0.264	0.505	0.122	0.917	0.024	0.373	0.442	0.3	0.023	0	0	0.027	0.018	0.016	0.082	0.858	0.37	0.965	0.806	""	""
AGAP005918	0	0	0.922	0.001	0.048	0.014	0	0	0	0.089	0.599	0.042	0.418	0.012	0.159	0.097	0.886	0.089	0	0	0	0.545	0.013	0.001	0.448	0.001	0.038	0.036	""	solute carrier family 30 (zinc transporter), member 1 [Source:VB Community Annotation]
AGAP001476	0	0.544	0.235	0	0	0.461	0.863	0.529	0.684	0.382	0.541	0.266	0.383	0.602	0.394	0.788	0.469	0	0.479	0.003	0.001	0.895	0.007	0.271	0.109	0.061	0.021	0.007	""	Innexin inx2 [Source:VB Community Annotation]
AGAP010232	0	0.894	0.03	0	0	0.353	0.106	0	0	0.749	0	0.125	0.31	0.001	0.138	0.234	0	0.542	0	0.001	0	0.115	0	0.451	0.491	0	0.476	0.316	""	all-trans-retinol dehydrogenase (NAD+) [Source:VB Community Annotation]
AGAP013523	0	0.001	0.309	0.294	0.902	0	0	0	0		0.949		0.953	0.49		0.241	0	0.014	0.154		0.098	0.952	0.732	0.022	0.513			0.543	""	""
AGAP009982	0	0.025	0.863	0	0.014	0	0	0	0	0.71	0.499	0.265	0.156	0	0	0.347	0.588	0.803	0	0	0	0	0	0	0	0	0	0.004	""	""
AGAP003604	0	0.025	0	0	0	0.895	0.099	0.005	0	0.984	0.281	0.639	0.08	0.474	0.071	0.032	0.359	0.091	0	0.005	0.053	0.392	0.942	0.001	0.066	0.001	0.034	0.221	""	""
AGAP006772	0	0.916	0	0	0.96	0.833	0.003	0.014	0	0.985	0.173	0.983	0.173	0.485	0.048	0.159	0.762	0	0	0	0	0.389	0.174	0	0.139	0.014	0.169	0.409	""	""
AGAP000188	0	0	0	0.687	0.142	0.901	0.094	0	0.07	0.683	0	0.75	0.002			0	0.005	0	0.865	0.153	0.068	0.945	0.274	0	0.84	0	0.546	0	""	Uridine phosphorylase [Source:UniProtKB/TrEMBL;Acc:Q7PFX7]
AGAP005520	0	0.4	0.641	0.494	0	0.736	0.077	0.543	0.064	0.682	0.002	0.319	0.436	0.849	0.024	0.046	0	0.015	0	0.066	0	0.338	0.408	0.31	0.229	0.832	0.583	0.403	""	cytochrome b-561 [Source:VB Community Annotation]
AGAP008924	0	0.781	0	0	0.002	0.011	0	0.053	0	0.957	0.008	0.9	0.005	0.381	0.001	0.65	0.439	0.864	0.568	0.183	0.959	0.958	0.107	0.521	0.875	0.652	0.967	0.976	""	""
AGAP006048	0	0	0.833	0.033	0.294	0.039	0.861	1	0.938	0.002	0.007	0	0.939	0	0.92	0.976	0.387	0	0.708	0.322	0.483	0.874	0.063	0.019	0.38	0.001	0.124	0.051	CYP4J5	cytochrome P450 [Source:VB Community Annotation]
AGAP006366	0	0.091	0	0.167	0	0.034	0.207	0	0	0.731	0	0.817	0	0.588	0.005	0.408	0.418	0	0.787	0.542	0.592	0	0.001	0	0.111	0.001	0.001	0.033	""	2-oxoglutarate dehydrogenase E1 component [Source:VB Community Annotation]
AGAP006888	0	0	0.618	0.051	0.02	0.389	0.391	0.019	0	0.909	0.476	0.455	0.919	0.283	0.109	0.014	0.092	0.259	0.001	0.015	0.004	0.157	0.962	0.569	0.375	0.997	0.997	0.904	""	G protein-coupled receptor kinase interactor 2 [Source:VB Community Annotation]
AGAP003198	0	0.15	0	0.005	0.155	0.21	0.953	0.397	0.028	0.249	0.48	0.448	0.043	0.357	0.267	0.1	0.262	0	0	0	0.001	0.53	0.76	0	0.072	0	0.085	0.113	""	""
AGAP007687	0	0	0	0	0.545	0.946	0.003	0	0	0.363	0.014	0.021	0	0.04	0.002	0.14	0.068	0	0	0	0	0.629	0.253	0	0.035	0	0.001	0	""	Oxysterol-binding protein [Source:UniProtKB/TrEMBL;Acc:Q7PT44]
AGAP002564	0	0.984	0	0.017	0.145	0.001	0.614	0.012	0.001	0.534	0	0.945	0.021	0.862	0.137	0	0.997	0.126	0.599	0.408	0.444	0	0.415	0.314	0.564	0.028	0.16	0.255	Aldo	fructose biphosphate aldolase [Source:VB Community Annotation]
AGAP029107	0	0.809	0	0	0.146	0.222	0.473	0.735	0.17	0.46	0.383	0.185	0.148	0.037	0.024	0.202	0.018	0.026	0	0	0	0.014	0.867	0.436	0.12	0.005	0.355	0.46	""	""
AGAP001478	0	0.003	0	0.919	0.042	0.344	0.028	0	0	0.906	0.293	0.956	0.071	0.788	0.482	0	0	0	0	0.001	0.042	0.007	0.922	0.567	0.94	0.956	0.686	0.855	NMDAR1	ionotropic receptor NMDAR1 [Source:VB Community Annotation]
AGAP013121	0	0	0	0.063	0.038	0.229	0.978	0.848	0.25	0.797	0.219	0.524	0.264	0.83	0.182	0.028	0.998	0	0	0.219	0.033	0.446	0.568	0.013	0.202	0.044	0.24	0.501	""	""
AGAP008217	0	0.005	0	0	0	0	0.255	0	0	0.007	0	0.386	0.01	0.577	0.033	0.001	0	0	0	0	0.011	0.002	0.569	0.428	0.966	0.033	0.157	0.393	CYP6Z3	cytochrome P450 [Source:VB Community Annotation]
AGAP002226	0	0.085	0	0	0.942	0.312	0.865	0.678	0.268	0.002	0.98	0.003	0.873	0.003	0.696	0.404	0.783	0.121	0	0	0	0.821	0	0.005	0.138	0.058	0.374	0.627	""	diacylglycerol kinase (ATP dependent) [Source:VB Community Annotation]
AGAP004725	0	0.203	0	0.456	0	0.065	0.601	0.741	0.498	0.455	0.826	0.748	0.12	0.175	0.013	0	0	0.001	0	0	0	0.389	0.217	0.551	0.68	0.424	0.683	0.414	eIF3c	Eukaryotic translation initiation factor 3 subunit C [Source:UniProtKB/Swiss-Prot;Acc:Q7PMU8]
AGAP006645	0	0	0.006	0.391	0.569	0.833	0.715	0.921	0.688	0	0.66	0.049	0.412	0.002	0.918	0.02	0.394	0	0.007	0.013	0.118	0	0.527	0.099	0.069	0.005	0.016	0.034	""	""
AGAP009595	0	0	0	0.861	0.002	0.607	0.417	0.001	0	0.192	0	0.874	0	0.986	0	0.093	0.309	0	0	0.001	0.005	0.015	0.017	0	0.217	0	0.018	0.033	""	sodium/potassium-transporting ATPase subunit beta [Source:VB Community Annotation]
AGAP009509	0	0	0.083	0.088	0	0.836	0.72	0.769	0.505	0.025	0.602	0.006	0.124	0.002	0.039	0.542	0.001	0	0.422	0.852	0.231	0.012	0.266	0.178	0.798	0.36	0.799	0.551	PIWI	piwi [Source:VB Community Annotation]
AGAP006278	0	0.004	0	0.001	0.056	0	0.853	0	0.004	0.17	0.019	0.048	0.021	0.254	0.015	0	0.702	0.364	0.559	0.42	0.158	0.824	0.003	0.019	0.719	0.86	0.704	0.821	""	""
AGAP029185	0	0	0	0.003	0.001	0.054	0.485	0.003	0.001	0.662	0	0.701	0	0.775	0.006	0.148	0.001	0.047	0.929	0.336	0.376	0	0	0.436	0.38	0.106	0.036	0.212	""	""
AGAP002862	0	0	0.107	0.171	0	0.626	0.837	0.054	0.891	0	0	0	0	0	0	0.496	0	0.156	0	0	0	0	0.896	0	0.06	0	0	0.702	CYP6AA1	cytochrome P450 [Source:VB Community Annotation]
AGAP010485	0	0	0	0.005	0.934	0.395	0.007	0.039	0	0.757	0	0.474	0	0.491	0.003	0.014	0.199	0	0.196	0.879	0.917	0.002	0.489	0	0.026	0	0.005	0	""	dopamine beta-monooxygenase [Source:VB Community Annotation]
AGAP010613	0	0.024	0.111	0.031	0.194	0	0.047	0.002		0.249	0.016	0.586	0.026	0.411	0.009	0.302	0.993	0.074	0.06	0.861	0.011	0.105	0.882	0	0.483	0.669	0.085	0.057	""	elongation factor 1-beta [Source:VB Community Annotation]
AGAP010456	0	0.002	0	0.788	0.057	0.919	0.599	0.253	0.028	0.24	0.102	0.365	0.06	0.787	0.019	0.784	0.963	0	0.01	0.155	0.012	0.745	0.039	0.003	0.513	0	0.05	0.12	""	""
AGAP000840	0	0.042	0.133	0.877	0.674	0.011	0.013	0	0.002	0.859	0.217	0.399	0.038	0.337	0.028	0.803	0.569	0.121	0.973	0.975	0.69	0.524	0	0.051	0.4	0.834	0.912	0.405	""	amiloride-sensitive sodium channel, other [Source:VB Community Annotation]
AGAP000332	0	0	0.495	0.187	0.977	0.463	0	0.071	0.066	0.116	0.563	0.059	0.615	0.082	0.876	0.855	0.191	0	0.001	0.001	0	0.885	0.203	0.091	0.621	0.155	0.416	0.732	Vir	protein virilizer [Source:VB Community Annotation]
AGAP006958	0	0.036	0	0.3	0	0.167	0.13	0.851	0.97	0.233	0.303	0.091	0.092	0.978	0.709	0	0	0.78	0	0.001	0.262	0.004	0	0	0.001	0	0	0	Hsp83	Heat shock protein 83 [Source:UniProtKB/Swiss-Prot;Acc:Q7PT10]
AGAP009626	0	0	0	0.004	0.179	0.626	0.069	0.062	0.002	0.571	0.019	0.449	0.011	0.59	0.048	0	0.398	0	0	0	0	0.048	0.238	0.05	0.275	0.011	0.046	0.129	""	Kv channel-interacting protein 4 isoform 2 [Source:VB Community Annotation]
AGAP004410	0	0.011	0	0	0.004	0.695	0.39	0.096	0.002	0.693	0.033	0.198	0	0.17	0.001	0.082	0.009	0	0.002	0.019	0.015	0.928	0.932	0.114	0.525	0.423	0.189	0.707	""	""
AGAP007018	0	0	0.46	0.003	0.003	0.318	0.608	0.992	0.597	0	0	0	0.001	0	0	0.033	0.001	0	0.217	0.051	0.503	0.321	0	0.333	0.633	0.667	0.74	0.417	""	""
AGAP010182	0	0.466	0.621	0.002	0.142	0.015	0.09	0.168	0.016	0.793	0	0.524	0.026	0.775	0	0.881	0	0.727	0.81	0.969	0.604	0.21	0.034	0.039	0.316	0.112	0.367	0.054	""	WD repeat-containing protein 32 [Source:VB Community Annotation]
AGAP012429	0	0.32	0	0	0.08	0.957	0.002	0.021	0	0.226	0.003	0.148	0.001	0.127	0.001	0.001	0.73	0.349	0	0.001	0.042	0.007	0.215	0.007	0.21	0.008	0.217	0.011	NMDAR2	ionotropic receptor NMDAR2 [Source:VB Community Annotation]
AGAP002916	0	0.001	0.003	0.176	0.092	0.45	0.085	0.175	0.46	0.97	0.435	0.888	0.368	0.96	0.438	0.005	0.443	0	0.468	0.64	0.564	0.905	0.892	0.041	0.605	0.213	0.13	0.126	""	""
AGAP000945	0	0.157	0	0.024	0.024	0.734	0.69	0.5	0.022	0.029	0	0.475	0.017	0.873	0.369	0.05	0.222	0	0.355	0.304	0.774	0.461	0.641	0.479	0.729	0.844	0.977	0.861	""	sn1-specific diacylglycerol lipase [Source:VB Community Annotation]
AGAP011250	0	0	0	0.007	0	0.996	0.423	0	0	0	0.011	0.001	0.018	0.005	0.011	0.152	0.883	0	0	0.014	0.008	0.112	0.264	0.167	0.296	0	0.079	0	""	""
AGAP003289	0	0	0.985	0.372	0	0	0	0	0	0	0.001	0.131	0.005	0.194	0.006	0.045	0	0	0	0	0	0	0.06	0	0.334	0.008	0.002	0.001	""	carbonic anhydrase [Source:VB Community Annotation]
AGAP004518	0	0	0	0.001	0.603	0.943	0.782	0.218	0.056	0.639	0.082	0.953	0.006	0.73	0.001	0.155	0.716	0	0	0	0	0.872	0.964	0.815	0.48	0.743	0.598	0.816	""	""
AGAP011812	0	0	0.883	0.725	0.086	0.081	0.001	0	0	0.161	0.628	0.007	0.04	0.002	0.022	0.017	0.984	0.089	0.291	0.924	0.055	0	0.551	0.061	0.483	0.571	0.643	0.885	""	Elongation of very long chain fatty acids protein (Fragment) [Source:UniProtKB/TrEMBL;Acc:Q7PZA2]
AGAP002137	0	0.041	0.009	0.886	0.852	0.01	0.199	0.021	0.058	0.342	0	0.613	0.011	0.602	0.002	0.025	0	0	0.096	0.009	0.706	0.945	0.021	0.008	0.012	0.001	0	0.128	""	""
AGAP009563	0	0.288	0.161	0.248	0	0.036	0.157	0	0	0.325	0.423	0.781	0.566	0.419	0.247	0.949	0	0.173	0	0	0	0.612	0.119	0.699	0.598	0.501	0.887	0.395	""	myotubularin related protein 2 [Source:VB Community Annotation]
AGAP000569	0	0.121	0	0.034	0.637	0.005	0.605	0.722	0.333	0.978	0.26	0.363	0.025	0.391	0.029	0.239	0.039	0	0.001	0.046	0	0.966	0.045	0	0.078	0	0.04	0.079	""	forkhead box protein P [Source:VB Community Annotation]
AGAP003115	0	0.394	0	0	0.029	0.978	0.119	0.05	0	0.938	0.497	0.77	0.373	0.404	0.155	0.038	0.618	0	0	0.083	0	0.824	0.928	0	0.042	0.038	0.046	0.214	COE2580	carboxylesterase [Source:VB Community Annotation]
AGAP013348	0	0.15	0.028	0.549	0	0.016	0	0	0	0.04	0.204	0.046	0.177	0.872	0.725	0.03	0.791	0	0.001	0.16	0.637	0.004	0	0.126	0.569	0.087	0.115	0.017	""	""
AGAP003142	0	0.938	0.896	0.751	0.166	0	0	0	0	0.002	0.008	0	0	0.001	0.006	0	0	0.103	0	0	0	0.685	0	0.271	0.071	0.284	0.105	0.131	""	sulfide:quinone oxidoreductase [Source:VB Community Annotation]
AGAP006526	0	0	0.379	0.001	0.031	0.241	0.957	0.059	0.014	0.035	0.079	0.01	0.089	0.069	0.275	0.04	0	0.693	0.007	0.463	0.005	0.065	0.762	0.001	0.057	0	0	0	""	""
AGAP000629	0	0.916	0.76	0.831	0.059	0.89	0.433	0.153	0.095	0.162	0.022	0.002	0	0.805	0.245	0.332	0.006	0	0.367	0.357	0.033	0.754	0.382	0.657	0.175	0.205	0.914	0.834	""	""
