GeneID	Tiefora_v_NG_log2FoldChange	Gou_v_Moz_log2FoldChange	Ban_v_BanS_log2FoldChange	BanRe_v_BanS_log2FoldChange	Bak_v_Kis_log2FoldChange	VK7_v_Kis_log2FoldChange	Cameroon_v_NG_log2FoldChange	Chad_v_NG_log2FoldChange	Niger_v_NG_log2FoldChange	Nigeria_v_NG_log2FoldChange	Agboville_v_Mali_log2FoldChange	Agboville_v_NG_log2FoldChange	Dabou_v_Mali_log2FoldChange	Dabou_v_NG_log2FoldChange	Tiassale_v_Mali_log2FoldChange	Tiassale_v_NG_log2FoldChange	Cam_fun_v_Fang_log2FoldChange	Fumoz_v_Fang_log2FoldChange	Ghana_fun_v_Fang_log2FoldChange	Malawi_fun_v_Fang_log2FoldChange	Uganda_fun_v_Fang_log2FoldChange	Asendabo_v_Moz_log2FoldChange	Chewaka_v_Moz_log2FoldChange	Tolay_v_Moz_log2FoldChange	Ethiopia_v_Dongola_log2FoldChange	GeneName	GeneDescription
AGAP008282	0	0.001	0	0.022	0.614	0.457	0	0.427	0	0	0.002	0.824	0	0.88	0	0.962	0.199	0.608	0.539	0.195	0.036	0	0.335	0	0.087	D7r2	D7 short form salivary protein [Source:VB Community Annotation]
AGAP009595	0	0.041	0	0.002	0.97	0.004	0.86	0.692	0.006	0	0.233	0	0.922	0	0.911	0	0	0.29	0	0.041	0.075	0.004	0.001	0.026	0.067	""	sodium/potassium-transporting ATPase subunit beta [Source:VB Community Annotation]
AGAP001200	0	0.028	0.028	0.309	0.563	0.469	0.282	0	0	0	0.019	0.878	0.003	0.889	0	0.505	0.566	0.215	0.244	0.047	0.276	0.433	0.679	0.481	0.001	""	glycogen debranching enzyme [Source:VB Community Annotation]
AGAP006772	0	0.379	0.696	0	0	0.808	0.653	0.043	0.054	0.004	0.975	0.229	0.92	0.199	0.429	0.063	0.001	0.189	0.028	0.226	0.488	0	0	0	0.544	""	""
AGAP001526	0	0.013	0	0.103	0.204	0.457	0.694	0.631	0.074	0.476	0.442	0.071	0.593	0.624	0.562	0.742	0.051	0.144	0.163	0.275	0.018	0.323	0.957	0	0.18	""	RIO kinase 2 [Source:VB Community Annotation]
AGAP006645	0	0.524	0	0.039	0.607	0.755	0.656	0.235	0.638	0.986	0	0.772	0.06	0.45	0.005	0.829	0.438	0.164	0.028	0.082	0.045	0.026	0.033	0.323	0.001	""	""
AGAP005088	0	0.227	0.011	0.64	0.628	0.258	0.86	0.979	0.936	0.645	0.057	0.064	0.009	0.009	0.134	0.156	0.505	0.878	0.514	0.766	0.947	0.083	0	0.035	0.294	""	""
AGAP006108	0	0	0	0.814	0	0.002	0.923	0	0.456	0.195	0.369	0.952	0.114	0.728	0.002	0.202	0.764	0.469	0.271	0.14	0.185	0.787	0.331	0.987	0.537	""	""
AGAP010456	0	0.187	0.024	0	0.536	0.079	0.796	0.839	0.398	0.1	0.28	0.142	0.439	0.07	0.726	0.026	0.009	0.029	0.123	0.026	0.062	0.005	0.137	0.003	0.614	""	""
AGAP006590	0	0.045	0.859	0	0	0.034	0.824	0.939	0.364	0.052	0.041	0.97	0.1	0.581	0.082	0.843	0.004	0.259	0.01	0.21	0.524	0	0	0	0.593	""	T-lymphoma invasion and metastasis-inducing protein 1 [Source:VB Community Annotation]
AGAP010817	0	0.106	0.007	0.001	0.068	0.06	0.505	0.632	0.093	0	0.289	0.69	0.471	0.269	0.707	0.281	0.182	0.324	0.221	0.526	0.902	0.002	0.007	0	0.007	""	""
AGAP006452	0	0	0.001	0	0.926	0.928	0.928	0.219	0.195	0.716	0.013	0	0.011	0	0.177	0	0.009	0.573	0.012	0	0	0.194	0.663	0.556	0.238	""	""
AGAP005241	0	0	0.379	0.605	0.047	0	0.747	0.045	0	0	0.681	0.042	0.975	0.217	0.667	0.347	0.01	0.24	0	0.008	0	0.086	0.599	0.087	0.871	""	""
AGAP003839	0	0.828	0.328	0	0.008	0.002	0.705	0.047	0.011	0.514	0.087	0.442	0.178	0.058	0.001	0.935	0	0.671	0.011	0.139	0.013	0	0.516	0	0.124	""	Fem-1 homolog c [Source:VB Community Annotation]
AGAP000213	0	0.034	0.139	0	0	0	0.681	0.634	0.673	0.011	0.982	0.005	0.71	0.008	0.024	0	0.573	0.932	0.992	0.566	0.895	0	0	0	0.817	""	ankyrin repeat and SOCS box protein 17 [Source:VB Community Annotation]
AGAP005292	0	0.116	0.089	0	0.015	0.244	0.153	0.503	0.326	0.002	0.163	0.856	0.156	0.728	0.007	0.584	0.043	0.329	0.245	0.46	0.948	0	0	0	0.985	""	nucleolysin TIA-1/TIAR [Source:VB Community Annotation]
AGAP028501	0	0.874	0.033	0	0	0.04	0.369	0.812	0.381	0.077	0.76	0.301	0.982	0.141	0.505	0.037	0	0.401	0.006	0.078	0.017	0	0	0	0.95	""	""
AGAP002366	0	0.63	0.001	0	0	0.113	0.929	0.63	0.074	0.008	0.825	0.036	0.949	0.004	0.616	0.029	0.006	0.182	0	0.071	0.104	0.004	0.005	0	0.802	""	high affinity choline transporter [Source:VB Community Annotation]
AGAP002577	0	0.931	0.029	0	0	0.627	0.856	0.84	0.401	0.084	0.458	0.836	0.963	0.269	0.501	0.779	0	0.221	0.022	0.122	0.448	0	0	0	0.346	""	voltage-dependent p/q type calcium channel [Source:VB Community Annotation]
AGAP009183	0	0.61	0.008	0	0.154	0.059	0.139	0.365	0.388	0.034	0.872	0.244	0.423	0.048	0.096	0.008	0.002	0.039	0	0.072	0.104	0.002	0.048	0.001	0.358	""	defective proboscis extension response [Source:VB Community Annotation]
AGAP000833	0	0.388	0.473	0	0	0	0.037	0.194	0.002	0.002	0.249	0.003	0.031	0	0.025	0	0	0.101	0	0.007	0	0	0	0	0.387	MIP	myoinhibitory-like peptide [Source:VB Community Annotation]
AGAP007479	0	0.285	0.801	0.932	0.005	0	0.163	0	0	0	0.766	0.006	0.392	0.618	0.47	0.186	0	0.116	0.014	0.06	0.091	0	0	0	0.242	""	methylenetetrahydrofolate reductase (NADPH) [Source:VB Community Annotation]
AGAP005802	0	0.069	0	0.026	0	0.001	0.456	0.091	0.929	0.533	0.971	0.789	0.945	0.871	0.828	0.562	0.157	0.943	0.37	0.576	0.696	0	0.022	0	0.056	RpL8	60S ribosomal protein L8 [Source:UniProtKB/Swiss-Prot;Acc:Q9U9L2]
AGAP000558	0	0.212	0.029	0.726	0	0	0.336	0.002	0.083	0.853	0.02	0.865	0.006	0.625	0	0.402	0.767	0.726	0.967	0.791	0.95	0.096	0.094	0.038	0.376	""	mannosyl-oligosaccharide alpha-1,2-mannosidase [Source:VB Community Annotation]
AGAP002916	0	0.82	0.013	0.012	0.114	0.142	0.391	0.053	0.126	0.362	0.942	0.461	0.856	0.398	0.988	0.495	0.097	0.73	0.28	0.168	0.212	0.511	0.545	0.529	0.834	""	""
AGAP006990	0	0.808	0	0.297	0.566	0	0.857	0.263	0.805	0.872	0.117	0	0.374	0.001	0.283	0.001	0.926	0.382	0.899	0.982	0.558	0	0.014	0	0.796	""	AT-rich interactive domain-containing protein 2 [Source:VB Community Annotation]
AGAP010182	0	0.174	0.083	0.903	0.009	0.243	0.005	0.03	0.03	0.003	0.678	0	0.586	0.038	0.638	0	0.016	0.246	0.133	0.279	0.041	0.604	0.884	0.238	0.291	""	WD repeat-containing protein 32 [Source:VB Community Annotation]
AGAP001410	0	0.252	0.084	0	0.774	0.148	0.278	0.745	0.083	0	0.821	0.312	0.996	0.101	0.77	0.08	0	0.114	0.005	0.078	0.29	0	0	0	0.325	""	Sidestep protein [Source:VB Community Annotation]
AGAP011378	0	0	0	0.52	0.177	0	0.06	0.016	0.628	0.95	0	0.009	0	0.026	0	0.001	0.879	0.611	0.711	0.92	0.738	0.995	0.947	0.968	0.002	""	Tartan [Source:VB Community Annotation]
AGAP004581	0	0	0.775	0	0	0	0	0	0.195	0.483							0		0	0	0	0	0.037	0.69	0.166	""	heat shock protein 70kDa [Source:VB Community Annotation]
AGAP007593	0	0.002	0.42	0	0	0	0.004	0.484	0.572	0.452	0.863	0	0.886	0	0.395	0	0.003	0.353	0.119	0.023	0.154	0.016	0.029	0	0	""	glycerol-3-phosphate dehydrogenase (NAD+) [Source:VB Community Annotation]
AGAP006526	0	0.963	0	0.674	0.007	0.067	0.584	0.629	0.195	0.146	0.054	0.12	0.014	0.101	0.07	0.345	0.008	0.14	0	0	0	0.028	0.586	0.025	0.136	""	""
AGAP006958	0	0	0.012	0	0.186	0	0.466	0.312	0.608	0.709	0.167	0.618	0.149	0.924	0.712	0.232	0	0.001	0	0	0	0	0.003	0.413	0	Hsp83	Heat shock protein 83 [Source:UniProtKB/Swiss-Prot;Acc:Q7PT10]
AGAP010049	0	0.795	0.075	0	0	0.383	0.792	0.844	0.762	0.264	0.084	0.839	0.155	0.982	0.118	0.947	0.077	0.435	0.073	0.162	0.337	0	0	0	0.789	""	""
AGAP002741	0	0.74	0.854	0.027	0.078	0.219	0.111	0.009	0.138	0.152	0.001	0.029	0.002	0.048	0	0.009	0.001	0.425	0.025	0.189	0.722	0	0	0	0.024	""	histone-lysine N-methyltransferase MLL1 [Source:VB Community Annotation]
AGAP008963	0	0	0.008	0.14	0	0.333	0.34	0.091	0	0	0.005	0	0.666	0.402	0.009	0.001	0.83	0.925	0.869	0.73	0.766	0.269	0.742	0.075	0.646	""	""
AGAP003289	0	0.156	0	0.851	0.326	0	0	0.001	0	0	0.001	0	0.127	0.002	0.181	0.002	0.001	0.412	0.019	0.006	0.002	0	0	0	0	""	carbonic anhydrase [Source:VB Community Annotation]
AGAP002377	0	0	0.002	0.003	0.981	0	0.064	0	0	0	0.232	0.147	0.045	0.021	0	0	0.188	0.107	0.954	0.653	0.589	0.02	0.994	0.743	0.021	""	fatty-acid amide hydrolase 2 [Source:VB Community Annotation]
AGAP005520	0	0.44	0.228	0.484	0.46	0	0.434	0.227	0.752	0.176	0.704	0.002	0.32	0.417	0.771	0.023	0.505	0.337	0.752	0.629	0.444	0	0.119	0.002	0.479	""	cytochrome b-561 [Source:VB Community Annotation]
AGAP005681	0	0.628	0.001	0	0	0.413	0.732	0.922	0.323	0.2	0.297	0.842	0.872	0.144	0.243	0.869	0	0.168	0	0.03	0.136	0	0	0	0.985	GPRNNA21	putative GPCR class a orphan receptor 21 [Source:VB Community Annotation]
AGAP010122	0	0.042	0	0.904	0.926	0	0.991	0.747	0.111	0.002	0.129	0.239	0.039	0.08	0.001	0.004	0.997	0.789	0.891	0.949	0.852	0	0.026	0	0.921	CPR132	cuticular protein RR-2 family 132 [Source:VB Community Annotation]
AGAP010930	0	0.86	0.081	0.529	0	0.024	0.152	0.762	0.468	0.008	0.006	0.008	0.006	0.008	0.026	0.044	0.206	0.257	0.879	0.759	0.152	0.789	0.538	0.373	0.628	""	""
AGAP008227	0	0	0.03	0.119	0.451	0.001	0	0	0	0	0.105	0.835	0.038	0.83	0.104	0.877	0.552	0.945	0.786	0.916	0.763	0.54	0.357	0.024	0.013	""	trehalose 6-phosphate synthase/phosphatase [Source:VB Community Annotation]
AGAP007687	0	0.273	0.002	0	0	0.322	0.783	0.031	0	0.001	0.31	0.023	0.014	0	0.033	0.003	0	0.055	0	0.001	0	0	0	0	0.775	""	Oxysterol-binding protein [Source:UniProtKB/TrEMBL;Acc:Q7PT44]
AGAP001476	0	0.029	0.382	0.17	0	0	0.776	0.678	0.123	0.911	0.363	0.406	0.226	0.336	0.527	0.316	0.182	0.316	0.145	0.066	0.024	0.756	0.011	0.005	0.794	""	Innexin inx2 [Source:VB Community Annotation]
AGAP005794	0	0.908	0	0.003	0	0	0.473	0.318	0.031	0.001	0.297	0.465	0.389	0.643	0.222	0.358	0	0.009	0	0.118	0.117	0.828	0.368	0.503	0.863	""	""
AGAP006511	0	0.284	0	0.112	0.027	0.884	0.309	0.824	0.248	0.026	0.912	0.007	0.56	0.001	0.033	0	0.188	0.169	0.096	0.441	0.084	0.307	0.425	0.242	0.219	""	histone deacetylase 1/2 [Source:VB Community Annotation]
AGAP005095	0	0.097	0	0	0.774	0.37	0.083	0.634	0	0	0	0.309	0.1	0.005	0.005	0.011	0	0.322	0	0.001	0	0.001	0.025	0	0.239	""	actin beta/gamma 1 [Source:VB Community Annotation]
AGAP008924	0	0.284	0.541	0	0	0	0.034	0	0.118	0	0.984	0.012	0.827	0.007	0.345	0.002	0.756	0.633	0.735	0.936	0.837	0.756	0.244	0.763	0.863	""	""
AGAP010232	0	0	0.391	0.079	0	0	0.199	0.04	0	0	0.671	0	0.118	0.292	0.001	0.176	0.259	0.853	0	0.333	0.17	0	0.001	0	0.113	""	all-trans-retinol dehydrogenase (NAD+) [Source:VB Community Annotation]
AGAP010205	0	0.076	0.196	0	0	0.017	0.886	0.171	0.005	0	0.79	0.523	0.277	0.459	0.207	0.275	0	0.034	0	0.002	0.004	0.009	0.008	0.005	0.096	""	""
AGAP004410	0	0.948	0.084	0	0	0	0.508	0.238	0.034	0	0.63	0.047	0.122	0	0.12	0.001	0.047	0.281	0.387	0.162	0.458	0.011	0.03	0.046	0.996	""	""
AGAP000057	0	0.114	0.236	0.359	0.046	0.223	0.032	0	0.108	0.816	0.388	0.941	0.561	0.624	0.717	0.384	0.044	0.883	0.706	0.335	0.927	0	0.35	0	0.559	""	paired box protein [Source:VB Community Annotation]
AGAP003604	0	0.948	0.112	0	0	0	0.995	0.23	0.025	0	0.942	0.333	0.574	0.098	0.437	0.095	0.003	0.095	0.001	0.045	0.323	0	0.004	0.031	0.342	""	""
AGAP003198	0	0.694	0.393	0	0.003	0.096	0.141	0.799	0.545	0.085	0.295	0.546	0.489	0.05	0.387	0.331	0.001	0.114	0	0.13	0.204	0	0	0	0.495	""	""
AGAP011250	0	0.299	0	0	0.033	0	0.923	0.644	0.001	0	0	0.017	0.001	0.023	0.005	0.016	0.303	0.402	0	0.114	0.003	0	0.009	0	0.239	""	""
AGAP013121	0	0.545	0.002	0	0.038	0.059	0.154	0.864	0.967	0.352	0.792	0.275	0.55	0.294	0.871	0.235	0.031	0.295	0.059	0.28	0.598	0	0.192	0.008	0.403	""	""
AGAP013523	0	0.802	0.001	0.384	0.258	0.87	0	0	0	0				0.948			0.043	0.636	0.852		0.611	0.205	0.322	0.093	0.919	""	""
AGAP007003	0	0.932	0.228	0.234	0.006	0.424	0	0	0.002	0	0.168	0	0.06	0	0.324	0	0	0.03	0.001	0.004	0	0.972	0.559	0.391	0.032	""	""
AGAP007821	0	0.344	0.27	0	0	0.001	0.896	0.08	0.006	0.04	0.928	0.509	0.599	0.138	0.345	0.081	0.512	0.624	0.107	0.619	0.861	0	0	0	0.973	""	""
AGAP001478	0	0.836	0.023	0	0.724	0.006	0.207	0.143	0	0	0.926	0.35	0.85	0.079	0.807	0.574	0.761	0.722	0.856	0.771	0.979	0	0.001	0.016	0.012	NMDAR1	ionotropic receptor NMDAR1 [Source:VB Community Annotation]
AGAP011694	0	0.603	0.005	0.31	0.937	0	0.192	0.808	0.234	0.038	0.839	0	0.916	0	0.936	0	0.356	0.852	0.408	0.943	0.653	0.065	0.347	0.002	0.075	""	""
AGAP005063	0	0.02	0.002	0	0	0.959	0.355	0.027	0.023	0.185	0.228	0.399	0.111	0.269	0.093	0.143	0.138	0.371	0.772	0.987	0.773	0.375	0.03	0	0.013	""	RAN binding protein 9 [Source:VB Community Annotation]
AGAP010722	0	0.131	0	0.324	0.504	0.072	0	0	0	0	0.811	0.004	0.518	0	0.089	0	0.334	0.401	0.177	0.857	0.445	0.714	0.117	0.96	0.226	""	""
AGAP005301	0	0.808	0.568	0	0	0.046	0.741	0.033	0.001	0	0.926	0.154	0.777	0.064	0.237	0.013	0.934	0.34	0.06	0.284	0.549	0	0	0	0.918	""	""
AGAP004518	0	0.855	0	0	0	0.808	0.975	0.939	0.341	0.119	0.645	0.111	0.988	0.008	0.667	0.001	0.939	0.563	0.824	0.673	0.894	0	0	0	0.767	""	""
AGAP009477	0	0.016	0.095	0.003	0.204	0	0.874	0.034	0.765	0.904	0.678	0.014	0.094	0	0.001	0	0.678	0.329	0.161	0.866	0.339	0.022	0.215	0.017	0.07	""	bruno [Source:VB Community Annotation]
AGAP000360	0	0.972	0.075	0.006	0.488	0.812	0.252	0.039	0.318	0.43	0.44	0.671	0.43	0.6	0.007	0.436	0.075	0.549	0.829	0.932	0.982	0.022	0.015	0.173	0.282	""	""
AGAP007023	0	0	0.022	0.024	0.213	0.849	0.75	0	0	0	0.145	0.002	0.13	0.007	0.049	0.4	0.005	0.377	0.11	0.308	0.104	0.621	0.778	0.936	0	cue	Protein cueball [Source:UniProtKB/Swiss-Prot;Acc:Q7QIQ6]
AGAP010485	0	0.487	0	0	0.002	0.756	0.286	0.054	0.1	0.004	0.652	0	0.438	0	0.464	0.005	0	0.058	0	0.003	0	0.168	0.844	0.953	0.001	""	dopamine beta-monooxygenase [Source:VB Community Annotation]
AGAP005892	0	0.61	0	0.728	0	0	0.923	0.277	0.935	0.827	0.002	0	0.006	0	0	0	0.145	0.188	0.242	0.592	0.132	0.054	0.014	0.145	0	""	importin beta-2 [Source:VB Community Annotation]
AGAP007801	0	0	0.001	0.005	0	0	0.001	0.282	0.644	0.004	0.038	0.009	0	0.047	0.001	0.06	0	0	0	0	0.002	0	0.069	0.001	0.021	""	vrille [Source:VB Community Annotation]
AGAP004883	0	0.001	0.038	0.085	0.568	0	0.32	0	0	0	0.012	0.001	0.46	0.112	0.931	0.466	0.812	1	0.866	0.655	0.359	0.146	0.518	0.028	0.473	""	""
AGAP002226	0	0.002	0.275	0	0	0.805	0.271	0.762	0.802	0.405	0.003	0.906	0.004	0.9	0.005	0.654	0.022	0.231	0.075	0.471	0.76	0.129	0.235	0.072	0.892	""	diacylglycerol kinase (ATP dependent) [Source:VB Community Annotation]
AGAP001143	0	0.541	0.51	0.001	0.895	0	0.303	0.621	0	0.054	0.033	0.465	0.015	0.226	0.024	0.118	0.765	0.504	0.59	0.768	0.539	0	0	0	0.538	""	histone deacetylase 3 [Source:VB Community Annotation]
AGAP006366	0	0.039	0.064	0	0.338	0	0.139	0.067	0	0	0.636	0	0.888	0	0.667	0.008	0.003	0.182	0.003	0.002	0.034	0.735	0.612	0.787	0	""	2-oxoglutarate dehydrogenase E1 component [Source:VB Community Annotation]
AGAP011653	0	0	0.046	0.124	0	0	0.893	0.09	0.214	0.027	0	0.869	0	0.327	0	0.719	0.127	0.398	0.226	0.799	0.015	0	0	0	0.255	""	membrane dipeptidase [Source:VB Community Annotation]
AGAP007043	0	0.797	0.218	0.048	0	0.005	0.015	0.961	0.147	0.015	0.459	0.196	0.457	0.13	0.503	0.21	0.208	0.381	0.001	0.235	0.081	0.688	0.051	0.15	0	""	""
AGAP002564	0	0.599	0.932	0	0.064	0.082	0.008	0.368	0.001	0	0.459	0	0.994	0.03	0.917	0.177	0.487	0.813	0.051	0.22	0.275	0.756	0.488	0.675	0	Aldo	fructose biphosphate aldolase [Source:VB Community Annotation]
AGAP003065	0	0.315	0.737	0.775	0.587	0.735				0.721							0.764			0.48	0.67	0.766		0.775		CYP11179	cytochrome P450 [Source:VB Community Annotation]
AGAP005219	0	0.859	0.218	0	0	0.018	0.697	0.412	0.022	0.005	0.787	0.192	0.355	0.005	0.5	0.029	0.205	0.5	0.561	0.884	0.978	0	0	0	0.554	""	""
AGAP006888	0	0.92	0	0.433	0.122	0.048	0.681	0.901	0.049	0.004	0.973	0.338	0.353	0.856	0.365	0.081	0.305	0.27	0.869	0.875	0.637	0.01	0.043	0.02	0.123	""	G protein-coupled receptor kinase interactor 2 [Source:VB Community Annotation]
AGAP006534	0	0.064	0	0.298	0.203	0.461	0.554	0.003	0.202	0.411	0	0.002	0	0.002	0	0	0.739	0.962	0.703	0.845	0.748	0.01	0.015	0	0.81	""	""
AGAP005878	0	0.157	0	0.099	0	0	0.124	0	0	0	0.098	0.332	0.204	0.156	0.106	0.329	0.898	0.516	0.247	0.233	0.586	0	0	0.004	0.07	""	POU domain transcription factor, class 3 [Source:VB Community Annotation]
AGAP009624	0	0.573	0.003	0.87	0.262	0	0.034	0.026	0.107	0.13	0.844	0.517	0.542	0.883	0.444	0.594	0.06	0.485	0.951	0.881	0.879	0.1	0.566	0.675	0.76	CTPsyn	CTP synthase [Source:VB Community Annotation]
AGAP009626	0	0.252	0.001	0	0.001	0.069	0.436	0.256	0.146	0.013	0.473	0.028	0.393	0.014	0.531	0.065	0.117	0.402	0.023	0.075	0.241	0	0	0	0.139	""	Kv channel-interacting protein 4 isoform 2 [Source:VB Community Annotation]
AGAP011812	0	0.806	0	0.695	0.612	0.138	0.063	0	0	0	0.168	0.691	0.009	0.053	0.002	0.032	0.044	0.313	0.511	0.595	0.789	0.242	0.992	0.022	0	""	Elongation of very long chain fatty acids protein (Fragment) [Source:UniProtKB/TrEMBL;Acc:Q7PZA2]
AGAP004726	0	0.484	0.037	0	0.713	0.009	0.81	0.575	0.21	0.036	0.8	0.222	0.914	0.415	0.365	0.096	0.502	0.244	0.004	0.301	0.14	0.002	0.087	0.006	0.166	""	Uncharacterized protein CG3556 [Source:VB Community Annotation]
AGAP000629	0	0.581	0.97	0.639	0.799	0.135	0.997	0.282	0.118	0.052	0.168	0.032	0.001	0	0.738	0.291	0.568	0.312	0.185	0.949	0.699	0.498	0.981	0.808	0.846	""	""
AGAP000835	0	0.153	0	0.01	0.225	0.408	0.083	0.888	0.243	0.035	0.694	0.259	0.629	0.003	0.482	0.005	0	0.009	0	0.011	0	0.09	0.004	0.117	0	""	""
AGAP010090	0	0.337	0.301	0	0.277	0.47	0.369	0.566	0.949	0.651	0.034	0.365	0.153	0.866	0.11	0.642	0.056	0.241	0.155	0.21	0.622	0	0	0	0.722	""	receptor-type tyrosine-protein phosphatase F [Source:VB Community Annotation]
AGAP012251	0	0	0.367	0.029	0.001	0	0.986	0.001	0	0	0	0.008	0.08	0.051	0.728	0.541	0.145	0.815	0.532	0.448	0.908	0	0	0	0.976	""	inorganic phosphate cotransporter [Source:VB Community Annotation]
AGAP010834	0	0.045	0.001	0.004	0.001	0	0.952	0.946	0.856	0.989	0.52	0.203	0.439	0.146	0.864	0.662	0.347	0.053	0.008	0.103	0.047	0.297	0.119	0.183	0.948	""	calpain-7 [Source:VB Community Annotation]
AGAP000945	0	0.84	0.391	0	0.012	0.036	0.597	0.881	0.674	0.066	0.03	0	0.475	0.061	0.783	0.395	0.018	0.079	0.063	0.051	0.112	0.305	0.265	0.467	0.552	""	sn1-specific diacylglycerol lipase [Source:VB Community Annotation]
AGAP003115	0	0.963	0.719	0	0	0.007	0.881	0.27	0.117	0	0.864	0.566	0.704	0.419	0.364	0.2	0	0.064	0.044	0.066	0.311	0.132	0.426	0.13	0.623	COE2580	carboxylesterase [Source:VB Community Annotation]
AGAP002719	0	0.002	0.844	0	0	0	0.119	0.098	0.664	0.792	0.01	0.729	0.004	0.656	0.226	0.48	0	0.251	0.283	0.263	0.567	0	0	0	0.358	""	potassium voltage-gated channel Eag-related subfamily H, invertebrate [Source:VB Community Annotation]
AGAP005918	0	0.096	0	0.865	0.004	0.014	0.085	0	0.001	0	0.127	0.491	0.053	0.391	0.02	0.145	0.004	0.64	0.006	0.118	0.105	0	0	0	0.353	""	solute carrier family 30 (zinc transporter), member 1 [Source:VB Community Annotation]
AGAP010673	0	0.552	0.158	0.045	0.301	0.623	0.481	0.282	0.618	0.712	0.027	0	0.006	0	0.004	0	0.976	0.853	0.9	0.864	0.636	0.977	0.623	0.481	0.924	""	""
AGAP011045	0	0.855	0.452	0.005	0.417	0.112	0.913	0.01	0.119	0	0.984	0	0.574	0.008	0.676	0	0.002	0.52	0.576	0.443	0.472	0.36	0.252	0.765	0.001	""	""
AGAP010601	0	0.034	0.492	0	0.046	0.29	0.083	0.009	0.027	0.078	0.281	0.429	0.122	0.884	0.025	0.443	0.066	0.638	0.376	0.871	0.829	0	0	0.019	0.02	""	""
AGAP012429	0	0.44	0.633	0	0	0.025	0.895	0.023	0.064	0.004	0.196	0.005	0.121	0.002	0.096	0.002	0.033	0.411	0.016	0.337	0.065	0	0.001	0.016	0.012	NMDAR2	ionotropic receptor NMDAR2 [Source:VB Community Annotation]
AGAP009918	0	0	0	0.32	0	0	0.083	0.875	0	0.011	0	0.309	0	0.055	0	0.447	0.97	0.633	0.496	0.144	0.049	0.284	0.22	0.007	0.686	""	""
AGAP008328	0	0.154	0.842	0	0.639	0.87	0	0.005	0	0	0.839	0.58	0.53	0.263	0.084	0.033	0.163	0.914	0.486	0.735	0.793	0.079	0.01	0.656	0.745	""	""
AGAP009491	0	0.534	0.004	0	0.163	0.73	0.001	0.001	0	0	0.001	0	0.001	0	0	0	0.028	0.313	0.368	0.582	0.395	0.824	0.249	0.261	0	""	F-type H+-transporting ATPase subunit g [Source:VB Community Annotation]
AGAP008888	0	0.046	0.046	0.84	0.027	0.118	0.39	0.857	0	0	0.643	0.62	0.023	0.019	0.018	0.012	0.001	0.295	0	0	0.002	0.004	0.149	0	0.814	""	""
AGAP002810	0	0.317	0.001	0.003	0.462	0.632	0.51	0.408	0.674	0.511	0.094	0.012	0.006	0.001	0.013	0.001	0.9	0.804	0.707	0.833	0.736	0	0	0.018	0.836	""	45 kDa calcium-binding protein [Source:VB Community Annotation]
AGAP007657	0	0.81	0.141	0	0.002	0.742	0.567	0.063	0.326	0.374	0.001	0.114	0	0.005	0	0.018	0.523	0.534	0.847	0.491	0.703	0.019	0.013	0	0.028	""	syndecan 2 [Source:VB Community Annotation]
AGAP006543	0	0.013	0.001	0.103	0	0.033	0.183	0.399	0	0	0	0	0	0	0	0	0.208	0.579	0.812	0.848	0.685	0.418	0.006	0.582	0.855	""	""
AGAP004243	0	0.403	0.338	0.002	0.001	0.607	0.006	0.086	0.002	0	0.994	0.002	0.626	0	0.173	0	0.334	0.401	0.177	0.857	0.445	0.074	0.025	0.049	0	""	""
AGAP005813	0	0.605	0	0.188	0.647	0.682	0.968	0.794	0.002	0.002	0.118	0.001	0.387	0.022	0.032	0	0.752	0.544	0.319	0.428	0.715	0.667	0.983	0.399	0.003	""	FeS cluster assembly scaffold IscU [Source:VB Community Annotation]
AGAP012404	0	0.072	0	0.003	0.001	0.174	0.724	0.162	0.077	0.072	0.952	0	0.989	0	0.667	0.013	0.197	0.627	0.693	0.699	0.875	0	0.712	0.048	0.494	""	alanine--glyoxylate aminotransferase 2, mitochondrial [Source:VB Community Annotation]
AGAP007033	0	0.102	0.796	0.517	0.002	0.01	0.598	0	0	0	0.181	0.292	0.048	0.066	0.351	0.588	0.377	0.79	0.465	0.926	0.423	0.001	0.295	0.719	0.041	APL1C	Anopheles Plasmodium-responsive Leucine-Rich Repeat 1C [Source:VB Community Annotation]
AGAP000489	0	0	0.324	0.279	0.063	0.713	0.34	0.181	0.894	0.551	0.008	0.034	0.004	0.017	0	0.002	0.006	0.29	0.246	0.345	0.337	0.677	0.274	0.368	0.915	""	Eph receptor B1 [Source:VB Community Annotation]
AGAP002748	0	0.967	0.248	0	0.637	0.73	0.21	0.072	0.776	0.904	0.048	0.615	0.043	0.654	0.005	0.223	0.029	0.39	0.105	0.324	0.55	0	0	0	0.447	""	Protein kinase C [Source:UniProtKB/TrEMBL;Acc:Q7QCP8]
AGAP006416	0	0.185	0.011	0.961	0.687	0.005	0.214	0.073	0.453	0	0.414	0.019	0.951	0.02	0.988	0.013	0	0.105	0.507	0.258	0.064	0.854	0.722	0.955	0.15	SP24D	serine protease (non-digestive) [Source:VB Community Annotation]
AGAP000254	0	0.411	0.011	0.002	0.898	0.223	0.723	0.938	0.397	0.002	0.972	0.012	0.226	0.199	0.494	0.107	0.067	0.455	0.526	0.633	0.887	0.141	0.424	0.093	0.315	""	potassium voltage-gated channel Shaker-related subfamily A [Source:VB Community Annotation]
